TIME_STAMP,Lon,Lat,GPS Lon,GPS Lat,GPS Time,GPS Head,GPS Speed (km/h),GPS Speed(Complement),GPS Distance (m),GPS Source,GPS Data Ind,GPS Area,Event Technology,Event LTE Events,Event 5G-NR/LTE Events,5G KPI PCell RF Serving PCI,5G KPI PCell RF Serving PCI MOD 3,5G KPI PCell RF Serving PCI MOD 4,5G KPI PCell RF Serving PCI MOD 12,5G KPI PCell RF Serving PCI MOD 30,5G KPI PCell RF NR-ARFCN,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Subcarrier Spacing,5G KPI PCell RF Tx Beam ID 0,5G KPI PCell RF Rx Beam ID 0,5G KPI PCell RF Rx Beam ID 1,5G KPI PCell RF Serving PCI-SSB Idx,5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Serving SS-RSRP [dBm],5G KPI PCell RF Serving SS-RSRQ [dB],5G KPI PCell RF Serving SS-SINR [dB],5G KPI PCell RF Best Beam SSB Idx,5G KPI PCell RF Best Beam SS-RSRP [dBm],5G KPI PCell RF Best Beam SS-RSRQ [dB],5G KPI PCell RF Best Beam State,5G KPI PCell RF Best Beam CSI-RSRP[SSBRI] [dBm],5G KPI PCell RF Pathloss [dB],5G KPI PCell RF PUSCH Power [dBm],5G KPI PCell RF PUCCH Power [dBm],5G KPI PCell RF SRS Power [dBm],5G KPI PCell RF ENDC Tx Power [dBm],5G KPI PCell RF Neighbor Top1 PCI,5G KPI PCell RF Neighbor Top1 SS-RSRP [dBm],5G KPI PCell RF Neighbor Top1 SS-RSRQ [dB],5G KPI PCell RF Neighbor Top2 PCI,5G KPI PCell RF Neighbor Top2 SS-RSRP [dBm],5G KPI PCell RF Neighbor Top2 SS-RSRQ [dB],5G KPI PCell Layer1 DL BLER [%],5G KPI PCell Layer1 UL BLER [%],5G KPI PCell Layer1 DL Layer Num (Mode),5G KPI PCell Layer1 DL Layer Num (Avg),5G KPI PCell Layer1 UL Layer Num (Mode),5G KPI PCell Layer1 UL Layer Num (Avg),5G KPI PCell Layer1 DL MIMO,5G KPI PCell Layer1 UL MIMO,5G KPI PCell Layer1 DL MCS (Mode),5G KPI PCell Layer1 DL MCS (Avg),5G KPI PCell Layer1 UL MCS (Mode),5G KPI PCell Layer1 UL MCS (Avg),5G KPI PCell Layer1 DL RB Num (Mode),5G KPI PCell Layer1 DL RB Num (Avg),5G KPI PCell Layer1 DL RB Num (Including 0),5G KPI PCell Layer1 UL RB Num (Mode),5G KPI PCell Layer1 UL RB Num (Avg),5G KPI PCell Layer1 UL RB Num (Including 0),5G KPI PCell Layer1 PDSCH Throughput [Mbps],5G KPI PCell Layer1 PUSCH Throughput [Mbps],5G KPI PCell Layer1 DL BWP ID,5G KPI PCell Layer1 UL BWP ID,5G KPI PCell Layer2 MAC DL Throughput [Mbps],5G KPI PCell Layer2 MAC UL Throughput [Mbps],5G KPI SCell[1] RF Serving PCI,5G KPI SCell[1] RF NR-ARFCN,5G KPI SCell[1] RF Frequency [MHz],5G KPI SCell[1] RF Serving PCI-SSB Idx,5G KPI SCell[1] RF Serving SSB Idx,5G KPI SCell[1] RF Serving SS-RSRP [dBm],5G KPI SCell[1] RF Serving SS-RSRQ [dB],5G KPI SCell[1] RF Best Beam SSB Idx,5G KPI SCell[1] RF Best Beam SS-RSRP [dBm],5G KPI SCell[1] RF Best Beam SS-RSRQ [dB],5G KPI SCell[1] RF Best Beam State,5G KPI SCell[1] RF SRS Power,5G KPI SCell[1] RF Neighbor Top1 PCI,5G KPI SCell[1] RF Neighbor Top1 SS-RSRP [dBm],5G KPI SCell[1] RF Neighbor Top1 SS-RSRQ [dB],5G KPI SCell[1] RF Neighbor Top2 PCI,5G KPI SCell[1] RF Neighbor Top2 SS-RSRP [dBm],5G KPI SCell[1] RF Neighbor Top2 SS-RSRQ [dB],5G KPI SCell[1] Layer1 PUSCH Throughput [Mbps],5G KPI SCell[1] Layer2 MAC UL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI Total Info UL CA Type,5G KPI Total Info Layer1 DL BLER [%],5G KPI Total Info Layer1 UL BLER [%],5G KPI Total Info Layer1 DL RB Num(Including 0),5G KPI Total Info Layer1 UL RB Num(Including 0),5G KPI Total Info Layer1 PDSCH Throughput [Mbps],5G KPI Total Info Layer1 PUSCH Throughput [Mbps],5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info Layer2 RLC DL Throughput [Mbps],5G KPI Total Info Layer2 RLC UL Throughput [Mbps],5G KPI Total Info Layer2 PDCP DL Throughput(+Split Bearer) [Mbps],5G KPI Total Info Layer2 PDCP UL Throughput(+Split Bearer) [Mbps],Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps],Smart Phone Smart Throughput Mobile Network Rx Byte,Smart Phone Smart Throughput Mobile Network Tx Byte
2023-03-01 16:04:04.000000,-71.089851,42.334728,,,,,,,,,,,5G-NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01 16:04:04.300000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.82,-10.37,,3,-65.82,-10.37,Serving Beam,-64.00,61.00,,-5.00,,,369,-84.13,-10.86,370,-104.70,-18.13,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:04.400000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,120kHz,,,,,,,,,,,,,-64.33,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:04.500000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.88,-10.36,25.65,3,-65.88,-10.36,Serving Beam,-65.00,61.00,,-5.00,,,369,-84.05,-10.88,370,-105.12,-18.57,,,,,,,,,,,,,,,,,,,0.000,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,0.000,0.000,0.000,,,,,
2023-03-01 16:04:04.600000,-71.089851,42.334728,-71.089850,42.334730,16:04:04,0,0,0.00,,1,2,,,,,,,,,,,,120kHz,,,,,,,,,,,,,-64.00,61.00,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,0.000,0.000,0,0
2023-03-01 16:04:04.700000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.89,-10.35,,3,-65.89,-10.35,Serving Beam,-64.00,61.00,,,,,369,-83.95,-10.88,370,-104.71,-18.41,,,,,,,,,,,,,,,,,,,0.000,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,,,,,,,
2023-03-01 16:04:04.800000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.97,-10.37,24.52,3,-65.97,-10.37,Serving Beam,-65.00,61.00,,-5.00,,,369,-84.17,-10.90,370,-104.57,-17.24,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:04.900000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,120kHz,,,,,,,,,,,,,-64.25,61.00,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:05.000000,-71.089851,42.334728,,,,,,,,,,,5G-NR,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.77,-10.36,,3,-65.77,-10.36,Serving Beam,-64.00,61.00,,,,-5.55,369,-84.39,-10.92,370,-104.33,-18.23,,,,,,,,,,,,,,,0.02,,,0.01,0.000,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.000,,0.000,,0.000,0.005,0.000,0.005,,,,
2023-03-01 16:04:05.100000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.62,-10.35,24.94,3,-65.62,-10.35,Serving Beam,-64.00,61.00,,-5.00,,,369,-83.50,-10.80,370,-104.27,-18.52,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,0.000,0.000,0,0
2023-03-01 16:04:05.200000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,120kHz,,,,,,,,,,,,,-64.00,61.00,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:05.300000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.64,-10.36,14.91,3,-65.64,-10.36,Serving Beam,-64.00,61.00,-9.00,-6.12,,,369,-82.25,-10.63,370,-104.63,-19.15,0.00,0.00,2,2.00,1,1.00,2x2_MIMO,SMSL,0,2.72,23,23.17,4,4.16,,8,8.00,,0.137,0.434,1,1,0.137,0.434,,,,,,,,,,,,,,,,,,,,,DL NonCA,UL NonCA,0.00,0.00,,,0.137,0.434,0.137,0.434,,,,,,,,
2023-03-01 16:04:05.400000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,120kHz,,,,,,,,26.13,,,,,-64.00,61.00,-8.67,-5.81,-24.00,,,,,,,,0.00,0.00,2,2.00,1,1.00,2x2_MIMO,SMSL,0,1.58,22,22.00,4,4.00,,8,8.00,,0.049,0.170,1,1,0.049,0.170,,,,,,,,,,,,,,,,,,,,,DL NonCA,UL NonCA,0.00,0.00,,,0.049,0.170,0.049,0.170,,,,,,,,
2023-03-01 16:04:05.500000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.65,-10.36,26.04,3,-65.65,-10.36,Serving Beam,-64.00,61.00,,-5.00,,,369,-81.91,-10.63,370,-103.79,-18.21,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.012,0.019,0.013,0.018,,,,
2023-03-01 16:04:05.600000,-71.089851,42.334728,-71.089850,42.334730,16:04:05,0,0,0.00,0.00,1,2,,,,,,,,,,,,120kHz,,,,,,,,25.51,,,,,-64.00,61.00,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,0.013,0.023,831,1446
2023-03-01 16:04:05.700000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.73,-10.36,,3,-65.73,-10.36,Serving Beam,-64.00,61.00,,-5.00,,,369,-83.30,-10.77,370,-104.21,-18.66,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:05.800000,-71.089851,42.334728,,,,,,,,,,,,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.80,-10.36,,3,-65.80,-10.36,Serving Beam,-64.00,61.00,,,,,369,-83.95,-10.92,370,-104.28,-18.69,,,,,,,,,,,,,,,,,,,0.000,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,0.000,,,,,,,,,
2023-03-01 16:04:05.900000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,120kHz,,,,,,,,,,,,,-64.00,61.00,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
2023-03-01 16:04:06.000000,-71.089851,42.334728,,,,,,,,,,,5G-NR,,,371,2,3,11,11,2073333,27650.00,120kHz,3,21,149,371_3,3,-65.77,-10.36,25.78,3,-65.77,-10.36,Serving Beam,-64.00,61.00,,,,-5.24,369,-84.09,-10.95,370,-104.21,-18.16,,,,,,,,,,,,,,,,,,0.00,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
2023-03-01 16:04:06.100000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.00,,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,0.000,0.000,0,0
2023-03-01 16:04:06.200000,-71.089851,42.334728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-64.00,,,-5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,
